<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20210901,000000,6302.0000000,6351.0000000,6264.0000000,6334.0000000,1106615
LKOH,D,20210902,000000,6330.0000000,6408.0000000,6278.5000000,6350.5000000,1129608
LKOH,D,20210903,000000,6363.5000000,6366.0000000,6301.0000000,6330.0000000,653587
LKOH,D,20210906,000000,6327.0000000,6372.0000000,6314.5000000,6325.0000000,561034
LKOH,D,20210907,000000,6335.0000000,6338.5000000,6268.5000000,6280.0000000,791670
LKOH,D,20210908,000000,6282.0000000,6354.0000000,6246.5000000,6341.5000000,1079275
LKOH,D,20210909,000000,6330.0000000,6354.5000000,6261.0000000,6269.5000000,827841
LKOH,D,20210910,000000,6299.0000000,6339.0000000,6272.0000000,6300.0000000,747146
LKOH,D,20210913,000000,6321.0000000,6423.5000000,6308.0000000,6420.5000000,805842
LKOH,D,20210914,000000,6441.5000000,6600.0000000,6428.5000000,6570.0000000,1833094
LKOH,D,20210915,000000,6600.0000000,6767.0000000,6583.5000000,6724.5000000,1489881
LKOH,D,20210916,000000,6704.0000000,6800.0000000,6565.0000000,6664.0000000,1762500
LKOH,D,20210917,000000,6671.5000000,6673.0000000,6565.0000000,6600.5000000,1332859
LKOH,D,20210920,000000,6538.0000000,6596.5000000,6494.0000000,6551.0000000,868297
LKOH,D,20210921,000000,6579.0000000,6660.0000000,6557.0000000,6605.0000000,917647
LKOH,D,20210922,000000,6654.0000000,6721.5000000,6622.0000000,6702.0000000,667239
LKOH,D,20210923,000000,6749.0000000,6801.0000000,6707.0000000,6801.0000000,966130
LKOH,D,20210924,000000,6800.0000000,6859.5000000,6740.5000000,6825.0000000,824276
LKOH,D,20210927,000000,6900.0000000,7003.0000000,6871.0000000,6986.0000000,1410591
LKOH,D,20210928,000000,7015.0000000,7141.5000000,6964.0000000,6968.0000000,1472618
LKOH,D,20210929,000000,6928.0000000,7030.0000000,6900.5000000,6992.0000000,1053957
LKOH,D,20210930,000000,7011.0000000,7039.0000000,6850.5000000,6903.5000000,1427649
LKOH,D,20211001,000000,6863.5000000,6990.0000000,6835.0000000,6987.5000000,697983
LKOH,D,20211004,000000,7000.0000000,7160.5000000,6940.5000000,7134.5000000,1569230
LKOH,D,20211005,000000,7160.5000000,7417.0000000,7123.0000000,7346.5000000,1667789
LKOH,D,20211006,000000,7410.0000000,7417.0000000,7030.0000000,7096.0000000,1549495
LKOH,D,20211007,000000,7132.0000000,7189.5000000,6984.5000000,7165.0000000,1282235
LKOH,D,20211008,000000,7205.0000000,7279.0000000,7170.5000000,7220.0000000,922089
LKOH,D,20211011,000000,7287.0000000,7320.0000000,7253.0000000,7264.0000000,733416
LKOH,D,20211012,000000,7211.5000000,7332.0000000,7192.0000000,7306.0000000,817499
LKOH,D,20211013,000000,7321.5000000,7333.5000000,7070.5000000,7252.0000000,1257240
LKOH,D,20211014,000000,7290.0000000,7319.0000000,7172.0000000,7215.0000000,804831
LKOH,D,20211015,000000,7252.0000000,7318.0000000,7195.0000000,7306.5000000,950893
LKOH,D,20211018,000000,7323.0000000,7364.0000000,7271.5000000,7319.0000000,711222
LKOH,D,20211019,000000,7336.0000000,7373.0000000,7240.5000000,7373.0000000,761030
LKOH,D,20211020,000000,7360.0000000,7460.0000000,7320.0000000,7439.0000000,854248
LKOH,D,20211021,000000,7410.0000000,7429.0000000,7202.5000000,7232.0000000,928028
LKOH,D,20211022,000000,7215.0000000,7314.5000000,7172.0000000,7200.0000000,816459
LKOH,D,20211025,000000,7239.0000000,7483.0000000,7215.0000000,7441.5000000,1354036
LKOH,D,20211026,000000,7449.0000000,7525.0000000,7381.0000000,7440.5000000,1135248
LKOH,D,20211027,000000,7405.0000000,7486.5000000,7322.0000000,7323.5000000,746235
LKOH,D,20211028,000000,7286.0000000,7320.0000000,7190.0000000,7288.5000000,1383577
LKOH,D,20211029,000000,7260.0000000,7315.0000000,7118.0000000,7272.5000000,1311428
LKOH,D,20211101,000000,7261.0000000,7327.5000000,7242.0000000,7293.0000000,595014
LKOH,D,20211102,000000,7299.0000000,7394.0000000,7193.5000000,7214.0000000,946259
LKOH,D,20211103,000000,7193.0000000,7202.5000000,7125.0000000,7175.0000000,595102
LKOH,D,20211105,000000,7132.0000000,7205.0000000,7082.0000000,7199.0000000,593006
LKOH,D,20211108,000000,7243.5000000,7275.0000000,7202.0000000,7208.5000000,510146
